Datasets,Domain Experts,,,,E2E LLMs,,,,ACC-Fra,,,,MSG-Spec,,,,LLM4Fin,,,,RAFT,,,,RAFT+HITL,,,
,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,BSC,Pre.,Rec.,F1,BSC
1,83.74,96.33,89.59,89.99,7.12,41.03,11.77,32.22,41.8,36.5,38.9,37.9,64.2,55.8,59.7,61.3,80.33,70.23,74.94,78.08,95.03,95.83,95.42,90.24,95.5,95.7,95.6,90.5
2,90.75,91.54,91.14,85.34,8.16,21.11,11.71,29.81,48.9,39.9,43.9,29.8,58.7,50.4,54.2,58.9,52.18,72.76,60.78,76.62,85.02,84.41,84.71,88.35,95.4,94.2,94.8,96.2
3,95.06,98.87,96.93,92.27,11.91,33.63,16.8,42.21,46.4,34.3,39.0,36.4,70.5,62.1,66.0,68.4,74.29,76.97,75.61,79.44,96.89,93.37,95.02,91.07,96.5,95.7,96.1,90.9
4,93.47,93.7,93.58,81.05,26.98,46.73,33.56,39.96,52.7,45.7,49.0,36.4,67.8,71.3,69.5,64.7,59.91,82.11,69.28,72.81,79.06,98.73,87.8,83.14,92.0,98.0,94.9,84.0
5,97.26,95.97,96.61,89.06,25.35,49.75,33.17,38.01,58.5,49.8,53.8,61.6,75.1,68.9,71.9,72.3,61.22,87.69,72.1,83.73,95.39,97.38,96.37,89.49,98.5,97.1,97.8,89.8
6,94.3,97.06,95.66,86.1,19.06,36.47,24.61,31.03,43.9,31.5,36.7,31.3,60.3,48.5,53.7,51.8,83.67,41.76,55.72,48.61,92.11,89.74,90.89,76.94,95.8,98.5,97.1,89.8
Average,92.43,95.58,93.92,87.31,16.43,38.12,21.94,35.54,48.7,39.62,43.55,38.9,66.1,59.5,62.5,62.9,68.6,71.92,68.07,73.22,90.58,93.24,91.7,86.54,95.62,96.53,96.05,90.2
Variance,18.88,5.61,7.65,13.23,62.21,88.29,83.78,22.41,31.34,40.77,37.36,111.56,32.54,75.31,50.63,43.94,132.79,215.16,54.58,131.68,41.43,24.03,18.56,24.99,3.71,2.2,1.21,12.56
