Method,Metrics,Dataset1,Dataset2,Dataset3,Dataset4,Dataset5,Average
expert,Precision (%),77.87,90.68,90.06,96.2,93.97,89.75
,Recall (%),89.94,86.77,87.8,70.41,91.23,85.23
,F1 (%),83.47,88.68,88.92,81.31,92.58,86.99
,Requirement Coverage (%),96.41,96.98,93.32,82.2,92.34,92.25
deepseek,Precision (%),18.32,13.08,8.81,9.02,1.5,10.15
,Recall (%),47.39,44.11,33.24,43.39,36.84,40.99
,F1 (%),26.42,20.18,13.93,14.94,2.89,15.67
,Requirement Coverage (%),40.99,39.35,28.65,24.09,48.09,36.23
gpt,Precision (%),0.48,22.71,13.67,3.31,7.87,9.61
,Recall (%),7.39,45.72,36.62,44.95,55.76,38.09
,F1 (%),0.9,30.35,19.91,6.17,13.79,14.22
,Requirement Coverage (%),39.64,39.09,30.7,21.65,45.86,35.39
grok,Precision (%),0.0,12.67,3.21,3.23,9.55,5.73
,Recall (%),1.02,45.1,27.04,30.44,55.38,31.8
,F1 (%),0.0,19.78,5.75,5.83,16.29,9.53
,Requirement Coverage (%),19.73,43.86,19.83,12.59,47.26,28.66
ours_deepseek,Precision (%),94.94,93.91,93.61,87.96,99.29,93.94
,Recall (%),97.13,83.62,90.96,80.94,93.29,89.19
,F1 (%),96.02,88.46,92.27,84.31,96.19,91.45
,Requirement Coverage (%),97.59,98.68,85.08,78.13,82.41,88.38
ours_gpt,Precision (%),99.12,95.77,96.69,86.06,98.52,95.23
,Recall (%),94.01,79.85,91.63,68.14,94.58,85.64
,F1 (%),96.5,87.09,94.1,76.06,96.51,90.05
,Requirement Coverage (%),94.67,97.22,88.92,81.06,80.32,88.44
ours_grok,Precision (%),97.06,95.29,94.79,69.62,97.45,90.84
,Recall (%),91.78,93.79,86.72,78.24,95.04,89.11
,F1 (%),94.35,94.53,90.57,73.67,96.23,89.87
,Requirement Coverage (%),97.38,96.88,92.21,85.15,86.68,91.66
